restaurant_id,name,city,cuisine,restaurant_type,average_cost,delivery_time,rating,votes,online_order,book_table,cost_category,primary_cuisine
R1000,Restaurant_0,Hyderabad,"North Indian, Mexican, Italian",Bakery,547,76,4.7,2706,No,No,Premium,North Indian
R1001,Restaurant_1,Kolkata,Italian,Bakery,302,66,4.1,3830,No,Yes,Moderate,Italian
R1002,Restaurant_2,Jaipur,Chinese,Bakery,1820,68,4.0,3728,Yes,No,Luxury,Chinese
R1003,Restaurant_3,Chennai,"South Indian, Continental, North Indian",Casual Dining,1756,71,3.2,2703,Yes,No,Luxury,South Indian
R1004,Restaurant_4,Hyderabad,"Thai, North Indian, Continental",Cafe,837,80,2.0,635,Yes,No,Premium,Thai
R1005,Restaurant_5,Chandigarh,"Mexican, Chinese",Casual Dining,301,36,2.4,4244,Yes,Yes,Moderate,Mexican
R1006,Restaurant_6,Bengaluru,South Indian,Fine Dining,1453,34,3.6,3718,No,No,Luxury,South Indian
R1007,Restaurant_7,Hyderabad,"American, Mexican",Casual Dining,462,47,4.0,771,Yes,Yes,Moderate,American
R1008,Restaurant_8,Jaipur,"Italian, South Indian",Fine Dining,991,86,3.3,3989,Yes,Yes,Premium,Italian
R1009,Restaurant_9,Chennai,"Thai, Seafood",Fine Dining,553,39,4.2,3539,No,No,Premium,Thai
R1010,Restaurant_10,Kolkata,"Thai, Seafood, Chinese",Fine Dining,455,60,3.6,1565,Yes,Yes,Moderate,Thai
R1011,Restaurant_11,Jaipur,Japanese,Beverage Shop,315,87,2.2,3643,Yes,No,Moderate,Japanese
R1012,Restaurant_12,Jaipur,"Biryani, American",Casual Dining,1071,71,2.6,685,No,Yes,Luxury,Biryani
R1013,Restaurant_13,Bengaluru,"North Indian, Seafood",Beverage Shop,654,19,4.5,4197,No,Yes,Premium,North Indian
R1014,Restaurant_14,Pune,"North Indian, South Indian, Japanese",Cafe,986,69,4.2,46,Yes,Yes,Premium,North Indian
R1015,Restaurant_15,Chennai,"Mughlai, Japanese",Casual Dining,122,75,4.7,3846,No,No,Budget,Mughlai
R1016,Restaurant_16,Mumbai,"North Indian, Mexican, American",Cafe,254,22,2.4,1797,No,No,Moderate,North Indian
R1017,Restaurant_17,Jaipur,South Indian,Cafe,1309,30,5.0,2737,No,Yes,Luxury,South Indian
R1018,Restaurant_18,Pune,Seafood,Fine Dining,348,62,2.6,3890,No,Yes,Moderate,Seafood
R1019,Restaurant_19,Mumbai,Italian,Casual Dining,848,75,2.0,1904,Yes,Yes,Premium,Italian
R1020,Restaurant_20,Chennai,Continental,Cafe,904,29,5.0,146,Yes,No,Premium,Continental
R1021,Restaurant_21,Delhi,"South Indian, Japanese",Bakery,233,79,2.8,3086,Yes,Yes,Moderate,South Indian
R1022,Restaurant_22,Chandigarh,"Continental, Thai, Chinese",Cafe,420,36,4.0,3893,Yes,No,Moderate,Continental
R1023,Restaurant_23,Pune,"South Indian, Seafood",Bakery,489,17,2.5,671,Yes,No,Moderate,South Indian
R1024,Restaurant_24,Ahmedabad,"North Indian, Seafood, Italian",Casual Dining,533,68,3.7,1820,Yes,No,Premium,North Indian
R1025,Restaurant_25,Delhi,"South Indian, Thai",Beverage Shop,1145,28,4.7,424,Yes,No,Luxury,South Indian
R1026,Restaurant_26,Chandigarh,"American, Japanese, Biryani",Casual Dining,972,50,3.0,352,Yes,No,Premium,American
R1027,Restaurant_27,Bengaluru,"Japanese, South Indian",Beverage Shop,1723,81,4.0,2739,Yes,Yes,Luxury,Japanese
R1028,Restaurant_28,Hyderabad,"North Indian, Thai, Continental",Beverage Shop,1788,24,2.6,3460,No,No,Luxury,North Indian
R1029,Restaurant_29,Kolkata,"Mughlai, North Indian",Casual Dining,1248,63,3.9,3675,Yes,No,Luxury,Mughlai
R1030,Restaurant_30,Ahmedabad,"Mexican, Seafood",Cafe,1202,79,3.0,3747,Yes,Yes,Luxury,Mexican
R1031,Restaurant_31,Bengaluru,Italian,Quick Bites,957,71,2.6,3907,Yes,No,Premium,Italian
R1032,Restaurant_32,Chennai,American,Cafe,150,41,2.9,4251,Yes,Yes,Budget,American
R1033,Restaurant_33,Bengaluru,"Chinese, Continental, Mexican",Cafe,1851,89,2.5,4428,No,Yes,Luxury,Chinese
R1034,Restaurant_34,Hyderabad,"Seafood, North Indian, Mughlai",Fine Dining,275,19,4.7,2179,Yes,Yes,Moderate,Seafood
R1035,Restaurant_35,Chennai,"South Indian, Japanese, Mexican",Fine Dining,969,85,3.2,1888,Yes,No,Premium,South Indian
R1036,Restaurant_36,Ahmedabad,Chinese,Cafe,352,71,2.7,3980,Yes,No,Moderate,Chinese
R1037,Restaurant_37,Hyderabad,"Biryani, South Indian",Bakery,1065,29,3.3,4706,Yes,No,Luxury,Biryani
R1038,Restaurant_38,Mumbai,"Biryani, Mexican",Beverage Shop,1369,44,3.0,4580,Yes,Yes,Luxury,Biryani
R1039,Restaurant_39,Kolkata,Thai,Fine Dining,838,34,4.2,2627,Yes,No,Premium,Thai
R1040,Restaurant_40,Ahmedabad,"American, Thai",Cafe,1229,51,4.9,1525,Yes,Yes,Luxury,American
R1041,Restaurant_41,Mumbai,"Italian, South Indian, Seafood",Quick Bites,1316,17,3.3,584,No,No,Luxury,Italian
